,grp,neuron_type,zt,shapiro,shapiro_pvalue,skew,skew_pvalue,iqr,nboot
0,NSD,inter,MAZE,0.8025146686792374,0.001874369040503654,-3.4801099169667635,0.03487033540559135,0.46043422979094195,10000
1,NSD,inter,PRE,0.8582793745875359,0.02443197077408193,-2.9283689102896178,0.12842508630885296,0.43979314066663727,10000
2,NSD,inter,ZT 0-2.5,0.8451082255959511,0.006888695246833957,-3.132604028140502,0.08435759113717142,0.40260117658346883,10000
3,NSD,inter,ZT 2.5-5,0.8428355276584625,0.00892188543109745,-2.7352485509295015,0.16075594379791489,0.38452598133712246,10000
4,NSD,inter,ZT 5-7.5,0.8649615527153015,0.010332694906374656,-2.713894954701624,0.1273492277959004,0.37338810731447447,10000
5,NSD,pyr,MAZE,0.9474615095198154,0.0001685061591779967,-6.463071378485596,0.0018056982038483264,0.9907196518191784,10000
6,NSD,pyr,PRE,0.9755274505913257,0.002030898223519042,-3.203270542195776,0.062247886520356996,0.8809593659442693,10000
7,NSD,pyr,ZT 0-2.5,0.990186691480875,0.047003287357982516,-0.4954016608499646,0.39591598029984926,0.6058341194678878,10000
8,NSD,pyr,ZT 2.5-5,0.9899424717783928,0.04381029452051114,-0.06357780965270228,0.46178120885875795,0.6261226306212753,10000
9,NSD,pyr,ZT 5-7.5,0.9901904996395111,0.047956201545974464,0.241388311431262,0.3965000801259072,0.6474244559697729,10000
10,SD,inter,MAZE,0.8391934452712536,0.0035082168388894616,-3.4928804674556675,0.027596134148317356,0.3975768346166211,10000
11,SD,inter,PRE,0.8752193878054619,0.011357372890020825,-3.0272048215066736,0.04222685100815239,0.39979534040503395,10000
12,SD,inter,ZT 0-2.5,0.831545468467474,0.007884673134780097,-3.4879780827150864,0.06948724226919174,0.408843242903653,10000
13,SD,inter,ZT 2.5-5,0.8563409691691398,0.010509211203598223,-3.1122784857714603,0.08750984611625137,0.45418665317431706,10000
14,SD,inter,ZT 5-7.5,0.9289635251760483,0.04586897405314213,-1.559984072471847,0.23757337017867516,0.5465776442501029,10000
15,SD,pyr,MAZE,0.9647079544126987,0.0024448497917772785,-4.423450207086713,0.017361208350955976,0.8686842126849622,10000
16,SD,pyr,PRE,0.9748003808259964,0.0015616916840803339,-2.489823879733833,0.0961780435780554,0.8780386317843338,10000
17,SD,pyr,ZT 0-2.5,0.9716361958384514,0.000856370529962571,-3.1142433228630897,0.021545120852116764,0.8791171868122155,10000
18,SD,pyr,ZT 2.5-5,0.9791979141831398,0.006059910779888847,-1.8928438706828348,0.1841979148197885,0.8109789299307913,10000
19,SD,pyr,ZT 5-7.5,0.9846198844492435,0.02923016053814371,0.9106057812145701,0.3400085397838956,0.6250041587432762,10000
