,state,comp1,comp2,index,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,0
0,NREM,PRE,ZT 0-2.5,T-test,-1.2837144726940115,27.0,two-sided,0.2101499048195753,[-0.17  0.04],0.47933127784123664,0.646,0.23594571245291068,
1,NREM,PRE,ZT 2.5-5,T-test,1.5657302407874687,27.0,two-sided,0.12905829102872446,[-0.03  0.23],0.5846342726792766,0.864,0.3266927089848634,
2,NREM,PRE,ZT 5-7.5,T-test,2.1050552842665633,27.0,two-sided,0.04473037127527128,[0.   0.24],0.7860150062937328,1.732,0.5279122490304533,
3,NREM,ZT 0-2.5,ZT 2.5-5,T-test,5.01963199261911,15.0,two-sided,0.0001524617079157797,[0.1  0.24],1.1247681812992592,196.712,0.9873204528855636,
4,NREM,ZT 2.5-5,ZT 5-7.5,T-test,0.6242718405624454,15.0,two-sided,0.5418281452396416,[-0.05  0.09],0.13148105453747966,0.303,0.07828389384269277,
5,NREM,ZT 0-2.5,ZT 5-7.5,T-test,7.541654516746756,15.0,two-sided,1.767041458125378e-06,[0.13 0.24],1.439543033623621,1.054e+04,0.9996643141915299,
6,WK,PRE,ZT 0-2.5,T-test,-1.2837144726940115,27.0,two-sided,0.2101499048195753,[-0.17  0.04],0.47933127784123664,0.646,0.23594571245291068,
7,WK,ZT 0-2.5,ZT 2.5-5,T-test,5.01963199261911,15.0,two-sided,0.0001524617079157797,[0.1  0.24],1.1247681812992592,196.712,0.9873204528855636,
8,WK,ZT 2.5-5,ZT 5-7.5,T-test,0.6242718405624454,15.0,two-sided,0.5418281452396416,[-0.05  0.09],0.13148105453747966,0.303,0.07828389384269277,
9,WK,PRE,ZT 2.5-5,T-test,1.5657302407874687,27.0,two-sided,0.12905829102872446,[-0.03  0.23],0.5846342726792766,0.864,0.3266927089848634,
10,WK,ZT 0-2.5,ZT 5-7.5,T-test,7.541654516746756,15.0,two-sided,1.767041458125378e-06,[0.13 0.24],1.439543033623621,1.054e+04,0.9996643141915299,
11,WK,PRE,ZT 5-7.5,T-test,2.1050552842665633,27.0,two-sided,0.04473037127527128,[0.   0.24],0.7860150062937328,1.732,0.5279122490304533,
12,NREM,PRE,ZT 2.5-5,T-test,-1.3772899587288914,19.0,two-sided,0.18443289156320058,[-0.29  0.06],0.6017812970198942,0.756,0.257810422782414,
13,NREM,ZT 2.5-5,ZT 5-7.5,T-test,2.521895842674138,24.0,two-sided,0.018717585653969627,[0.03 0.29],1.0166087149000735,3.243,0.6772733419455925,
14,NREM,PRE,ZT 5-7.5,T-test,0.6747766041352332,25.0,two-sided,0.5060106895889991,[-0.09  0.18],0.2642929414686163,0.429,0.09950442997701624,
15,WK,PRE,ZT 0-2.5,T-test,-0.2177087954216882,17.0,two-sided,0.8302477125257542,[-0.21  0.17],0.1011606099497279,0.415,0.0548609151870319,
16,WK,ZT 0-2.5,ZT 2.5-5,T-test,-1.1756464708124463,16.0,two-sided,0.2569341888381343,[-0.27  0.08],0.5576580856358995,0.66,0.19763987910705996,
17,WK,ZT 2.5-5,ZT 5-7.5,T-test,2.521895842674138,24.0,two-sided,0.018717585653969627,[0.03 0.29],1.0166087149000735,3.243,0.6772733419455925,
18,WK,PRE,ZT 2.5-5,T-test,-1.3772899587288914,19.0,two-sided,0.18443289156320058,[-0.29  0.06],0.6017812970198942,0.756,0.257810422782414,
19,WK,ZT 0-2.5,ZT 5-7.5,T-test,0.9764372435254735,22.0,two-sided,0.33946336501749574,[-0.07  0.2 ],0.4228097290471562,0.545,0.15442269447171802,
20,WK,PRE,ZT 5-7.5,T-test,0.6747766041352332,25.0,two-sided,0.5060106895889991,[-0.09  0.18],0.2642929414686163,0.429,0.09950442997701624,
21,WK,ZT 2.5-5_NSD,ZT 2.5-5_SD,T-test,-2.648175089833633,18.98571705322584,two-sided,0.015869455934497248,[-0.34 -0.04],1.0721037109460205,3.982,0.7230732620982421,
0,,,,T-test,2.1591910673998576,12.03796397266944,two-sided,0.051717133366193296,[-0.   0.3],1.0795955336999288,1.784,0.5200781822387354,
