,grp,neuron_type,zt,shapiro_pvalue,ncells
0,NSD,inter,MAZE,1.7033619315043325e-06,48
1,NSD,inter,PRE,4.217054811306298e-05,48
2,NSD,inter,ZT 0-2.5,1.720369436952751e-05,48
3,NSD,inter,ZT 2.5-5,2.830234734574333e-05,48
4,NSD,inter,ZT 5-7.5,0.0001837562449509278,48
5,NSD,pyr,MAZE,3.5044682433760244e-11,441
6,NSD,pyr,PRE,1.339980008197017e-05,441
7,NSD,pyr,ZT 0-2.5,0.6574663519859314,441
8,NSD,pyr,ZT 2.5-5,0.32743436098098755,441
9,NSD,pyr,ZT 5-7.5,0.6460556387901306,441
10,SD,inter,MAZE,1.5316501958295703e-05,48
11,SD,inter,PRE,0.00016950254212133586,48
12,SD,inter,ZT 0-2.5,2.914914603024954e-06,48
13,SD,inter,ZT 2.5-5,3.176271638949402e-05,48
14,SD,inter,ZT 5-7.5,0.0958232507109642,48
15,SD,pyr,MAZE,6.744850452378159e-06,312
16,SD,pyr,PRE,0.0009673294262029231,312
17,SD,pyr,ZT 0-2.5,0.00013041817874182016,312
18,SD,pyr,ZT 2.5-5,0.009603763930499554,312
19,SD,pyr,ZT 5-7.5,0.1027972549200058,312
